,user_id,retweet_mean,favorite_count_mean,retweet_max,favorite_max,retweet_min,favorite_min,retweet_std,favorite_std,source_mode,in_reply_user_id_mean,retweet_%,contains_@_%,Unnamed: 0,id,statuses_count,followers_count,friends_count,favourites_count,listed_count,url,lang,time_zone,location,default_profile,geo_enabled,profile_banner_url,profile_background_image_url_https,profile_text_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_background_image_url,profile_background_color,profile_link_color,utc_offset,description,created_at,target
0,586.0,13897.8,11.566666666666666,183502.0,178.0,0.0,0.0,34847.11664755458,42.387118516029766,Twitter Web App,1.0,0.8666666666666667,1.0,8212,586,73152,1665266,866,324943,12805,1,,,Wyoming and Montana,0.0,1.0,1,0,0,1,0,0,1,1,,"I love @crystale & our 3 girls. Used to invest in startups. Had fun on @ABCSharkTank. Now healing the climate, fixing democracy, & reforming criminal justice.",2006-07-13 09:05:49,0
1,12522.0,20.233333333333334,0.6,581.0,2.0,0.0,0.0,105.97744826249536,0.6214554662658653,TweetDeck,1.0,0.13333333333333333,0.9666666666666667,8434,12522,142180,47053,22871,14749,4321,1,,,"Boston, MA",0.0,0.0,1,0,0,0,0,0,0,0,,"Storyteller & Educator trying to leave it better than I found it. He, Him, His.",2006-11-15 15:03:14,0
2,612473.0,60.53333333333333,86.9,630.0,1070.0,1.0,0.0,118.05660049120604,234.91573691065452,Other,1.0,0.4,0.5,9458,612473,406616,10473683,101,42,42363,1,,,London,0.0,1.0,1,0,1,0,0,0,0,1,,"News, features and analysis. For world news, follow @BBCWorld. Breaking news, follow @BBCBreaking. Latest sport news @BBCSport. Our Instagram: BBCNews",2007-01-08 08:05:57,0
3,652193.0,43.13333333333333,11.533333333333333,1035.0,70.0,0.0,0.0,188.21442894838805,17.09352233295193,Other,1.0,0.23333333333333334,0.5333333333333333,8362,652193,64715,189961,1055,83767,8369,1,,,"San Francisco, CA",0.0,1.0,1,0,1,1,1,0,1,0,,General Partner @GVteam. I write @500ish & @reviewinhaiku. On the road w/ @msquinn 👩🏻 & @maisiesiegler 👶🏻 #GoBlue 〽️🍻,2007-01-17 04:27:29,0
4,658353.0,1450.0333333333333,1.1333333333333333,31457.0,7.0,0.0,0.0,6045.922310537696,1.71671967332515,Twitter Web App,1.0,0.3,0.9333333333333333,9549,658353,20280,7552,3346,12436,250,1,,,"Austin, TX, USA",0.0,1.0,1,0,0,0,0,0,1,0,,"Makin' messes.
UCLA Design | Media Arts",2007-01-18 02:47:32,0
5,661163.0,3721.3,6.533333333333333,108035.0,83.0,0.0,0.0,19708.893935182557,15.692592878946671,Twitter for iPhone,1.0,0.13333333333333333,0.7333333333333333,8577,661163,44452,3528,1237,31804,110,1,,,los angeles,0.0,0.0,1,0,0,0,0,0,0,1,,how can i write a holy litany in your silly mood? digital director @EW & Schitt’s Creek podcast host. mrs. @yayponies. she/hers. these tweets are all mine.,2007-01-18 18:37:29,0
6,678033.0,75.97026604068857,0.5245696400625978,21325.0,40.0,0.0,0.0,729.4091612656661,1.6409770448220098,Other,0.3392801251956182,0.28794992175273865,0.7539906103286385,2274,678033,45825,7065,1822,3804,596,1,en,Eastern Time (US & Canada),OAK ,0.0,0.0,1,1,0,0,0,1,0,1,-14400.0,Comic. Writer. Speaker. My heart is hardwired to my brain.   Instagram: @heathr   Podcast: http://t.co/l470r0IcVc   Began: #loveislove,Mon Jan 22 01:57:38 +0000 2007,0
7,722623.0,283.7850671665105,0.4070602936582318,296689.0,19.0,0.0,0.0,7405.381238753983,0.9586123495324047,Twitter Web App,0.2808497344579819,0.17588253670727896,0.5663855045298344,257,722623,11770,1577,678,634,47,1,en,Arizona,"Tucson, Arizona",0.0,1.0,1,0,0,0,0,0,0,0,-25200.0,Blah Blah Blah every afternoon on @KIIM995 in Tucson. And longing for the day I get #verified by @twitter,Mon Jan 29 00:54:34 +0000 2007,0
8,749963.0,264.4,40.333333333333336,6854.0,258.0,0.0,0.0,1254.1244122411897,59.331525221061625,Twitter for iPhone,1.0,0.06666666666666667,0.2,9112,749963,13141,484397,457,143,4387,1,,,"Honolulu, HI",0.0,0.0,1,0,0,0,0,0,1,1,,"Be you. Be cool. eBay, Omidyar Network, Peer News/Civil Beat, First Look. DCD2 BC7F 5341 A2B9 B188 928A 2CB2 7535 C8A5 4876",2007-02-03 02:41:31,0
9,754714.0,40.56666666666667,1.9666666666666666,990.0,21.0,0.0,0.0,179.8305108808796,4.888292370434749,Twitter for iPhone,1.0,0.5666666666666667,0.7,9590,754714,193328,11202,3206,8080,598,0,,,"Brisbane, Australia",1.0,1.0,1,0,0,0,0,0,0,0,,Law lecturer and advocate for equality.  I share links because I find them interesting or thought provoking; not because I necessarily agree with them.,2007-02-05 04:29:53,0
10,755116.0,32.98971642256154,0.16266749766282332,13121.0,8.0,0.0,0.0,455.1095435057101,0.4786877995313877,Other,0.5185416017450919,0.06886880648177002,0.5917731380492365,2253,755116,39158,623,529,42,37,1,en,Tokyo,東京 Tokyo (Japan),0.0,0.0,1,0,0,0,0,0,0,0,32400.0,どうでも良いですよ！,Tue Feb 06 05:25:49 +0000 2007,0
11,755746.0,199.1533704390847,0.08534322820037106,321639.0,7.0,0.0,0.0,6070.755262930356,0.3412306783058996,Other,0.3469387755102041,0.08534322820037106,0.6431663574520717,3111,755746,18035,1620,591,361,72,1,en,Santiago,"Santiago, Chile / New York, NY",0.0,1.0,1,1,0,0,1,1,1,1,-14400.0,"Marketing for @WSystemsCorp, @NCFitClub, @DubaiAudio • Wife of @rodchile • Dog mom to @aidanfriedland • Past: Mozilla, Adobe, Apple, Seagate, @RIT_Alumni",Wed Feb 07 05:21:24 +0000 2007,0
12,768632.0,5.966666666666667,1.5,169.0,7.0,0.0,0.0,30.8360328113107,1.8708286933869707,Twitter for iPhone,1.0,0.06666666666666667,0.8666666666666667,9366,768632,48856,39227,5846,6039,2172,1,,,"Brooklyn, NY",0.0,1.0,1,0,0,0,0,0,0,0,,"Xennial. VC @ https://t.co/oVYq4U0pLd. Mets fan, triathlete, hockey goalie. Friend of the Pod.  These are my initials, btw.  Sign up at https://t.co/nbkXFNvBb0",2007-02-12 23:33:08,0
13,785080.0,43.26306027820711,0.5137557959814528,16181.0,32.0,0.0,0.0,526.0147677687902,1.2034964865589812,Other,0.42874806800618237,0.1205564142194745,0.590726429675425,3370,785080,22496,821,552,5897,29,1,en,Eastern Time (US & Canada),cambridge ma,0.0,0.0,1,0,0,0,0,0,0,0,-14400.0,"writer/dad, nearly bald. strong opinions loosely held. next book: PHISH'S 'A LIVE ONE' (33-1/3 series from Bloomsbury, 2015)",Wed Feb 21 01:08:16 +0000 2007,0
14,806585.0,64.5273631840796,0.4216417910447761,22063.0,12.0,0.0,0.0,731.2764008004524,0.7582113952308713,Twitter Web App,0.7562189054726368,0.13774875621890548,0.9036069651741293,1947,806585,29997,558,674,6414,50,1,en,America/Los_Angeles,"Northridge, California",0.0,1.0,0,0,0,0,0,0,0,0,-25200.0,"Married 46yo geek with wife and son. Love to write prose and code. Stories on my website. You still remember how to use websites, right?",Fri Mar 02 17:27:49 +0000 2007,0
